year,stat_type,team,forced_fumbles,fumble_recoveries,fumble_recovery_td,reception_fumble,rush_fumble,pass_attempt,pass_cmp,pass_cmp%,avg_pass_yds,total_pass_yds,pass_td,pass_int,opp_qb_rate,pass_1st,pass_1st%,pass_20+,pass_40+,pass_Lng,pass_Sck,rush_att,rush_yds,avg_rush_yds,rush_td,rush_20+,rush_40+,rush_Lng,rush_1st,rush_1st%,rush_fumbles,recs,rec_yds,avg_rec_yds,PDef,int_td,int_yds,int_lng,total_sack,tackle_combined,tackle_asst,tackle_solo,SFTY,3rd_att,3rd_md,4th_att,4th_md,rec_1st_all,rec_1st%_all,rush_1st_all,rush_1st%_all,total_plays,year_team,sb_winner,sb_appearance
2018,defense,49ers,11,5,0,4,6,542,344,63.5,7.3,3732,35,2,105.4,195,36.0,49,9,75T,37,444,1814,4.1,13,11,0,34,104,23.4,6,344,3959,11.5,37,1,55,32T,48,1001,215,689,1,216,87,17,10,195,56.7,104,23.4,1023,2018_49ers,0,0
2018,defense,Bears,18,9,1,4,5,615,377,61.3,6.3,3515,22,27,72.9,186,30.2,39,9,75T,50,339,1280,3.8,5,7,0,32,67,19.8,5,377,3854,10.2,92,5,330,49T,33,1012,190,768,1,219,75,28,16,186,49.3,67,19.8,1004,2018_Bears,0,0
2018,defense,Bengals,10,6,2,3,3,584,389,66.6,7.9,4414,32,12,100.0,221,37.8,60,13,72T,34,466,2204,4.7,17,15,2,65T,125,26.8,3,389,4587,11.8,72,3,222,58T,37,906,250,632,0,223,109,17,11,221,56.8,125,26.8,1084,2018_Bengals,0,0
2018,defense,Bills,21,11,0,4,10,492,313,63.6,6.3,2867,22,16,82.6,157,31.9,36,2,43,36,440,1839,4.2,17,12,1,43,111,25.2,10,313,3084,9.9,70,0,133,37,41,1030,263,672,1,203,74,11,6,157,50.2,111,25.2,968,2018_Bills,0,0
2018,defense,Broncos,13,10,0,3,6,549,353,64.3,7.7,3929,26,17,90.7,197,35.9,56,9,97T,44,429,1913,4.5,11,15,5,77T,85,19.8,6,353,4240,12.0,79,2,158,53T,34,970,204,726,0,211,82,11,6,197,55.8,85,19.8,1022,2018_Broncos,0,0
2018,defense,Browns,18,14,0,8,6,626,393,62.8,7.0,4125,21,17,83.4,216,34.5,51,8,67,37,459,2163,4.7,20,18,1,52,130,28.3,6,393,4370,11.1,75,0,100,50,38,1055,330,687,1,210,75,20,13,216,55.0,130,28.3,1122,2018_Browns,0,0
2018,defense,Buccaneers,12,8,1,4,5,534,387,72.5,8.2,4151,34,9,110.9,209,39.1,56,6,75T,38,426,1983,4.7,19,17,2,53,122,28.6,5,387,4383,11.3,54,0,97,50,41,1022,236,710,0,181,73,14,7,209,54.0,122,28.6,998,2018_Buccaneers,0,0
2018,defense,Cardinals,13,9,2,5,3,506,342,67.6,7.1,3262,21,7,96.1,186,36.8,37,5,64T,49,510,2479,4.9,25,21,4,65,139,27.3,3,342,3595,10.5,51,0,55,25,52,890,244,602,0,205,78,13,8,186,54.4,139,27.3,1065,2018_Cardinals,0,0
2018,defense,Chargers,7,7,1,3,6,548,351,64.1,7.1,3646,23,13,89.1,178,32.5,52,9,82T,38,395,1693,4.3,11,11,3,43,101,25.6,6,351,3886,11.1,72,1,247,86,34,1019,333,611,0,202,79,20,11,178,50.7,101,25.6,981,2018_Chargers,0,0
2018,defense,Chiefs,23,12,1,3,6,632,406,64.2,7.5,4374,30,15,92.7,247,39.1,65,8,49,52,425,2114,5.0,19,11,0,30,129,30.4,6,406,4721,11.6,64,3,280,67,26,985,287,655,0,193,80,27,18,247,60.8,129,30.4,1109,2018_Chiefs,0,0
2018,defense,Colts,15,11,0,7,5,542,384,70.8,7.4,3805,21,15,93.5,203,37.5,41,4,80T,38,415,1626,3.9,12,11,0,34T,87,21.0,5,384,4033,10.5,60,0,220,47,18,1024,208,724,0,200,82,15,7,203,52.9,87,21.0,995,2018_Colts,0,0
2018,defense,Cowboys,14,11,1,5,7,542,367,67.7,7.4,3755,22,9,95.7,193,35.6,43,7,53T,39,400,1513,3.8,12,9,1,68,89,22.3,7,367,3984,10.9,64,0,141,49,56,1059,325,693,0,201,85,14,6,193,52.6,89,22.3,981,2018_Cowboys,0,0
2018,defense,Dolphins,11,7,0,7,3,508,335,65.9,8.2,3932,31,21,94.1,195,38.4,59,11,73T,31,485,2325,4.8,17,20,3,71,116,23.9,3,335,4141,12.4,58,3,321,54,52,936,276,606,0,196,84,15,6,195,58.2,116,23.9,1024,2018_Dolphins,0,0
2018,defense,Eagles,12,7,0,3,6,626,417,66.6,7.4,4308,22,10,93.4,215,34.3,60,6,75T,44,332,1551,4.7,14,14,4,90T,71,21.4,6,417,4619,11.1,65,0,139,29,40,1055,227,755,0,201,71,19,11,215,51.6,71,21.4,1002,2018_Eagles,1,1
2018,defense,Falcons,8,4,1,1,10,585,398,68.0,7.5,4153,33,15,98.3,226,38.6,46,7,58,37,409,1999,4.9,16,13,1,92T,115,28.1,10,398,4408,11.1,66,1,151,41T,42,960,191,738,0,195,95,13,10,226,56.8,115,28.1,1031,2018_Falcons,0,0
2018,defense,Giants,11,5,0,4,7,560,362,64.6,7.6,4044,24,16,89.8,205,36.6,61,8,79T,30,444,1898,4.3,18,11,3,64T,103,23.2,7,362,4229,11.7,73,3,191,46,47,1095,337,599,0,206,87,17,14,205,56.6,103,23.2,1034,2018_Giants,0,0
2018,defense,Jaguars,7,6,0,0,5,499,312,62.5,6.7,3113,17,11,84.4,162,32.5,37,6,78T,37,434,1870,4.3,16,11,5,99T,89,20.5,5,312,3354,10.8,49,2,117,33T,53,1007,252,701,2,212,80,12,3,162,51.9,89,20.5,970,2018_Jaguars,0,0
2018,defense,Jets,13,7,0,3,4,582,367,63.1,7.5,4065,29,13,93.1,201,34.5,58,11,70T,39,440,2021,4.6,16,24,0,38T,104,23.6,4,367,4358,11.9,72,3,318,104,37,977,319,631,0,213,72,14,9,201,54.8,104,23.6,1061,2018_Jets,0,0
2018,defense,Lions,10,7,0,2,5,496,323,65.1,7.9,3599,29,7,102.7,191,38.5,50,10,82,43,403,1761,4.4,11,9,5,70,88,21.8,5,323,3897,12.1,47,2,148,67T,41,982,217,714,0,186,69,17,9,191,59.1,88,21.8,942,2018_Lions,0,0
2018,defense,Packers,10,8,0,3,6,527,336,63.8,7.7,3752,30,7,100.9,199,37.8,54,7,75T,44,446,1918,4.3,15,10,1,41,100,22.4,6,336,4074,12.1,59,1,100,27,53,989,273,637,0,212,79,18,12,199,59.2,100,22.4,1017,2018_Packers,0,0
2018,defense,Panthers,13,9,1,2,9,529,353,66.7,7.7,3847,32,13,99.6,185,35.0,51,12,75T,35,384,1804,4.7,13,17,2,60,110,28.6,9,353,4062,11.5,69,0,86,39,32,1056,358,660,0,183,73,17,10,185,52.4,110,28.6,948,2018_Panthers,0,0
2018,defense,Patriots,14,10,1,5,8,605,370,61.2,6.9,3943,29,18,85.4,208,34.4,57,9,75T,30,367,1803,4.9,7,11,1,54T,93,25.3,8,370,4181,11.3,64,1,156,84T,21,1135,409,689,0,197,76,16,6,208,56.2,93,25.3,1002,2018_Patriots,0,1
2018,defense,Raiders,5,3,0,1,6,480,299,62.3,8.2,3853,36,14,101.0,178,37.1,59,15,89T,13,480,2249,4.7,16,12,7,63T,108,22.5,6,299,3933,13.2,67,1,124,36T,52,1062,318,670,0,201,93,12,8,178,59.5,108,22.5,973,2018_Raiders,0,0
2018,defense,Rams,13,12,1,2,4,533,347,65.1,7.7,3780,31,18,93.8,185,34.7,59,14,73T,41,386,1957,5.1,12,17,1,51,101,26.2,4,347,4106,11.8,65,3,290,50T,33,1062,250,748,2,188,70,15,9,185,53.3,101,26.2,960,2018_Rams,0,0
2018,defense,Ravens,9,5,3,4,2,577,337,58.4,6.3,3360,21,12,80.6,174,30.2,44,7,64,43,354,1327,3.7,11,6,0,35T,82,23.2,2,337,3651,10.8,87,0,99,33,32,1147,316,773,0,211,72,20,10,174,51.6,82,23.2,974,2018_Ravens,0,0
2018,defense,Redskins,19,11,1,9,3,537,362,67.4,7.6,3794,27,15,95.1,197,36.7,52,9,90T,46,413,1860,4.5,12,6,2,78T,109,26.4,3,362,4091,11.3,56,0,203,40,44,980,252,660,0,196,86,13,5,197,54.4,109,26.4,996,2018_Redskins,0,0
2018,defense,Saints,19,12,0,9,4,573,384,67.0,8.1,4302,30,12,100.3,224,39.1,57,14,75T,49,356,1283,3.6,12,7,0,28T,72,20.2,4,384,4623,12.0,67,1,259,78,20,1065,292,707,0,189,78,29,14,224,58.3,72,20.2,978,2018_Saints,0,0
2018,defense,Seahawks,18,14,1,5,7,546,355,65.0,7.5,3842,26,12,94.3,201,36.8,58,8,75T,43,366,1811,4.9,9,14,2,59,91,24.9,7,355,4103,11.6,60,1,196,98T,51,1121,363,675,0,183,64,13,6,201,56.6,91,24.9,955,2018_Seahawks,0,0
2018,defense,Steelers,13,7,1,2,5,566,362,64.0,7.1,3697,27,8,95.2,200,35.3,53,7,71,52,369,1538,4.2,13,10,1,51,84,22.8,5,362,4044,11.2,67,2,89,35,24,1060,309,652,2,197,72,13,7,200,55.2,84,22.8,987,2018_Steelers,0,0
2018,defense,Texans,20,14,1,6,6,594,385,64.8,7.5,4167,28,15,92.7,200,33.7,55,13,83T,43,385,1323,3.4,8,3,0,39,76,19.7,6,385,4477,11.6,85,3,252,101T,62,1153,379,701,0,227,91,20,12,200,51.9,76,19.7,1022,2018_Texans,0,0
2018,defense,Titans,12,6,0,4,2,533,337,63.2,7.0,3471,21,11,88.4,182,34.1,48,7,75T,39,429,1863,4.3,9,7,1,97T,98,22.8,2,337,3719,11.0,63,2,120,56T,47,1041,308,619,0,205,75,20,11,182,54.0,98,22.8,1001,2018_Titans,0,0
2018,defense,Vikings,8,8,2,1,12,503,315,62.6,7.0,3140,15,12,83.3,160,31.8,43,10,70T,50,440,1815,4.1,13,7,3,75T,107,24.3,12,315,3501,11.1,62,1,159,52,40,1001,260,697,0,190,58,19,9,160,50.8,107,24.3,993,2018_Vikings,0,0
2019,defense,49ers,23,15,2,7,9,519,318,61.3,5.9,2707,23,12,83.0,150,28.9,34,5,88T,48,401,1802,4.5,11,9,1,40T,105,26.2,9,318,3074,9.7,75,3,286,49,36,1072,307,702,0,192,64,25,8,150,47.2,105,26.2,968,2019_49ers,0,0
2019,defense,Bears,12,9,0,4,5,571,362,63.4,6.6,3554,17,10,85.2,190,33.3,40,7,75T,32,414,1632,3.9,16,9,2,59,86,20.8,5,362,3796,10.5,67,1,157,59,45,995,231,737,1,209,76,23,13,190,52.5,86,20.8,1017,2019_Bears,0,0
2019,defense,Bengals,9,5,0,4,5,499,308,61.7,8.3,3917,25,11,95.4,183,36.7,70,12,79T,31,504,2382,4.7,17,22,2,57,124,24.6,5,308,4121,13.4,56,0,181,34,48,1039,354,659,1,209,89,10,5,183,59.4,124,24.6,1034,2019_Bengals,0,0
2019,defense,Bills,16,9,0,9,6,553,348,62.9,6.2,3123,15,14,78.8,169,30.6,34,4,61T,44,388,1649,4.3,12,12,1,65T,93,24.0,6,348,3421,9.8,80,0,59,49,40,1049,285,681,1,212,76,21,8,169,48.6,93,24.0,985,2019_Bills,0,0
2019,defense,Broncos,9,6,1,5,1,537,348,64.8,7.1,3609,19,10,89.8,175,32.6,46,11,75,40,426,1783,4.2,9,7,2,81,96,22.5,1,348,3822,11.0,68,0,87,24,41,991,328,617,0,211,79,19,9,175,50.3,96,22.5,1003,2019_Broncos,0,0
2019,defense,Browns,12,6,0,3,10,513,318,62.0,7.3,3470,25,14,89.0,184,35.9,48,8,75T,38,463,2315,5.0,19,14,3,83T,124,26.8,10,318,3740,11.8,62,1,219,61T,41,977,309,619,0,195,74,17,6,184,57.9,124,26.8,1014,2019_Browns,0,0
2019,defense,Buccaneers,21,16,4,5,6,664,408,61.4,7.0,4322,30,12,90.0,222,33.4,57,14,75T,47,362,1181,3.3,11,4,1,59,70,19.3,6,408,4647,11.4,93,2,201,70T,47,1070,344,674,0,218,75,27,13,222,54.4,70,19.3,1073,2019_Buccaneers,0,0
2019,defense,Cardinals,19,10,0,5,3,601,421,70.0,8.0,4510,38,7,109.9,243,40.4,72,7,57,40,439,1922,4.4,9,9,1,76T,94,21.4,3,421,4785,11.4,55,0,82,48,50,1002,284,678,0,214,100,14,3,243,57.7,94,21.4,1080,2019_Cardinals,0,0
2019,defense,Chargers,6,3,0,1,7,464,328,70.7,7.3,3204,21,11,96.7,156,33.6,41,6,70T,30,429,1805,4.2,15,9,3,84T,101,23.5,7,328,3394,10.3,43,0,74,37,34,1037,359,619,0,195,88,13,8,156,47.6,101,23.5,923,2019_Chargers,0,0
2019,defense,Chiefs,13,7,2,2,6,582,352,60.5,6.7,3543,21,16,80.8,190,32.6,46,7,69,45,416,2051,4.9,14,9,2,68T,115,27.6,6,352,3881,11.0,64,1,141,46T,25,954,215,702,0,202,75,31,16,190,54.0,115,27.6,1043,2019_Chiefs,0,0
2019,defense,Colts,14,8,0,4,4,562,394,70.1,7.5,3982,29,15,98.0,207,36.8,50,9,61T,41,383,1567,4.1,8,8,2,60T,93,24.3,4,394,4231,10.7,49,1,167,80T,32,1021,254,671,2,199,85,19,8,207,52.5,93,24.3,986,2019_Colts,0,0
2019,defense,Cowboys,14,10,1,3,7,569,370,65.0,6.8,3576,21,7,91.9,188,33.0,55,5,92T,39,407,1656,4.1,14,9,1,59,101,24.8,7,370,3879,10.5,69,0,83,29,23,1051,316,703,0,201,67,22,10,188,50.8,101,24.8,1015,2019_Cowboys,0,0
2019,defense,Dolphins,9,3,0,2,8,545,344,63.1,8.0,4198,39,13,101.9,214,39.3,68,6,83T,23,485,2166,4.5,15,9,2,60,113,23.3,8,344,4353,12.7,65,1,190,35T,58,986,257,668,1,194,81,13,8,214,62.2,113,23.3,1053,2019_Dolphins,0,0
2019,defense,Eagles,15,9,2,3,8,571,348,60.9,7.2,3865,27,11,90.8,185,32.4,49,15,75T,43,353,1442,4.1,13,10,3,68T,76,21.5,8,348,4136,11.9,79,1,159,51T,37,1092,312,740,0,205,70,18,11,185,53.2,76,21.5,967,2019_Eagles,0,0
2019,defense,Falcons,17,8,1,3,10,536,351,65.5,7.7,3918,28,12,96.9,192,35.8,56,9,71T,28,421,1775,4.2,13,14,0,37,108,25.7,10,351,4137,11.8,55,1,130,27T,50,1094,312,742,0,193,77,20,12,192,54.7,108,25.7,985,2019_Falcons,0,0
2019,defense,Giants,9,6,1,3,8,556,369,66.4,8.0,4225,30,10,101.4,211,37.9,67,15,62,36,469,1812,3.9,19,12,1,41,100,21.3,8,369,4471,12.1,64,1,171,62,43,1022,321,658,1,216,86,14,8,211,57.2,100,21.3,1061,2019_Giants,0,0
2019,defense,Jaguars,13,9,1,2,6,517,327,63.2,7.9,3778,22,10,93.9,193,37.3,60,12,84T,47,435,2229,5.1,23,15,6,84T,114,26.2,6,327,4088,12.5,60,1,132,35,42,1037,332,659,0,190,79,11,5,193,59.0,114,26.2,999,2019_Jaguars,0,0
2019,defense,Jets,10,9,2,2,8,585,363,62.1,6.8,3779,25,12,88.0,187,32.0,51,7,89T,35,417,1391,3.3,12,8,1,66,75,18.0,8,363,4001,11.0,64,3,138,61T,52,1029,416,577,2,225,88,12,3,187,51.5,75,18.0,1037,2019_Jets,0,0
2019,defense,Lions,16,11,1,5,7,611,381,62.4,7.8,4551,33,7,99.6,232,38.0,72,10,66,28,455,1855,4.1,13,7,2,45,94,20.7,7,381,4739,12.4,73,0,76,55,43,974,247,682,0,214,94,15,7,232,60.9,94,20.7,1094,2019_Lions,0,0
2019,defense,Packers,12,7,0,4,10,546,326,59.7,7.4,3721,19,17,81.1,191,35.0,56,15,66,41,411,1921,4.7,15,8,3,75T,99,24.1,10,326,4016,12.3,70,0,177,39,36,993,271,679,0,197,75,18,8,191,58.6,99,24.1,998,2019_Packers,0,0
2019,defense,Panthers,8,7,1,0,5,544,347,63.8,7.3,3696,21,14,88.0,197,36.2,53,7,93T,53,445,2296,5.2,31,23,5,60,128,28.8,5,347,3997,11.5,65,0,141,37,58,1088,408,650,2,193,77,9,6,197,56.8,128,28.8,1042,2019_Panthers,0,0
2019,defense,Patriots,15,11,2,6,5,536,303,56.5,6.0,2886,13,25,62.8,150,28.0,42,5,64T,47,365,1528,4.2,7,6,4,65T,72,19.7,5,303,3214,10.6,86,3,353,69T,28,1119,304,681,1,195,47,22,8,150,49.5,72,19.7,948,2019_Patriots,1,1
2019,defense,Raiders,9,6,0,2,3,526,337,64.1,8.3,4107,33,9,103.8,201,38.2,68,16,91T,32,405,1570,3.9,15,9,0,30,91,22.5,3,337,4355,12.9,65,2,214,59,29,1100,368,644,0,190,81,13,9,201,59.6,91,22.5,963,2019_Raiders,0,0
2019,defense,Rams,15,11,2,5,8,562,348,61.9,7.0,3625,23,13,86.8,194,34.5,40,6,67T,50,444,1809,4.1,15,9,1,44T,100,22.5,8,348,3928,11.3,72,2,137,32T,22,1040,291,654,1,218,86,24,14,194,55.7,100,22.5,1056,2019_Rams,0,1
2019,defense,Ravens,15,12,4,6,5,544,318,58.5,6.6,3315,15,13,77.5,163,30.0,47,9,83T,37,340,1494,4.4,12,8,4,88T,74,21.8,5,318,3583,11.3,69,2,259,89T,28,1133,341,721,1,194,72,18,6,163,51.3,74,21.8,921,2019_Ravens,0,0
2019,defense,Redskins,16,9,0,3,8,540,371,68.7,7.6,3823,35,13,102.5,200,37.0,56,9,53T,46,493,2339,4.7,14,16,4,67T,120,24.3,8,371,4093,11.0,52,0,106,33,50,957,328,567,0,227,111,19,12,200,53.9,120,24.3,1079,2019_Redskins,0,0
2019,defense,Saints,11,10,1,2,7,603,371,61.5,7.0,3868,27,13,88.3,197,32.7,54,13,75T,51,345,1461,4.2,12,9,1,49T,71,20.6,7,371,4201,11.3,75,2,140,55T,25,1061,306,717,1,210,73,25,11,197,53.1,71,20.6,999,2019_Saints,0,0
2019,defense,Seahawks,19,16,1,7,5,598,383,64.0,7.4,4223,19,16,85.6,224,37.5,53,6,58T,28,388,1883,4.9,22,12,2,80T,97,25.0,5,383,4407,11.5,72,2,161,55T,48,1140,404,670,0,185,71,12,7,224,58.5,97,25.0,1014,2019_Seahawks,0,0
2019,defense,Steelers,22,18,2,3,14,514,314,61.1,6.7,3113,23,20,79.7,164,31.9,43,6,58T,54,462,1753,3.8,7,6,0,38,110,23.8,14,314,3455,11.0,79,1,235,96T,32,1013,303,623,0,209,76,21,10,164,52.2,110,23.8,1030,2019_Steelers,0,0
2019,defense,Texans,14,10,0,1,4,586,375,64.0,7.7,4276,33,12,97.6,220,37.5,58,12,65T,31,403,1937,4.8,12,15,4,63T,98,24.3,4,375,4491,12.0,74,2,302,86,49,1032,301,680,0,202,98,16,7,220,58.7,98,24.3,1020,2019_Texans,0,0
2019,defense,Titans,11,9,2,3,5,598,386,64.5,7.3,4080,25,14,90.4,213,35.6,55,8,63T,43,415,1672,4.0,14,6,4,69,95,22.9,5,386,4356,11.3,70,1,158,38T,56,1057,366,597,1,204,74,25,10,213,55.2,95,22.9,1056,2019_Titans,0,0
2019,defense,Vikings,19,14,1,9,3,601,394,65.6,6.8,3737,23,17,86.1,215,35.8,47,7,60T,48,404,1728,4.3,8,5,2,91T,78,19.3,3,394,4099,10.4,81,1,95,21,28,1038,334,676,1,214,85,29,16,215,54.6,78,19.3,1053,2019_Vikings,0,0
2020,defense,49ers,13,8,0,7,8,537,341,63.5,6.6,3327,25,12,88.6,176,32.8,44,9,70,30,430,1703,4.0,12,9,2,61,102,23.7,8,341,3526,10.3,59,1,123,51,39,1084,371,664,0,200,71,20,13,176,51.6,102,23.7,997,2020_49ers,0,1
2020,defense,Bears,15,8,1,4,6,547,350,64.0,7.2,3705,28,10,94.9,190,34.7,50,7,72T,35,438,1814,4.1,11,9,0,37,104,23.7,6,350,3939,11.3,66,0,81,33,36,1066,341,708,1,210,80,22,13,190,54.3,104,23.7,1020,2020_Bears,0,0
2020,defense,Bengals,10,6,0,6,4,541,340,62.8,7.3,3859,32,11,96.1,192,35.5,57,8,55,17,463,2368,5.1,13,20,3,72T,126,27.2,4,340,3942,11.6,76,0,84,30,48,1062,335,676,0,210,91,16,10,192,56.5,126,27.2,1021,2020_Bengals,0,0
2020,defense,Bills,15,11,1,5,5,573,369,64.4,6.9,3726,23,15,86.9,199,34.7,44,7,69T,38,414,1914,4.6,21,11,0,33,125,30.2,5,369,3946,10.7,75,2,184,51T,27,1082,318,680,0,191,76,19,11,199,53.9,125,30.2,1025,2020_Bills,0,0
2020,defense,Broncos,12,6,0,4,6,567,374,66.0,7.2,3807,21,10,92.1,201,35.4,59,6,84T,42,434,2080,4.8,22,17,3,59,106,24.4,6,374,4089,10.9,62,0,130,46,32,993,315,645,0,219,88,14,7,201,53.7,106,24.4,1043,2020_Broncos,0,0
2020,defense,Browns,17,10,0,4,12,585,371,63.4,7.2,3962,31,11,94.8,214,36.6,49,10,47,38,412,1773,4.3,16,6,1,44,116,28.2,12,371,4224,11.4,73,2,214,50T,26,1105,405,643,2,205,90,27,22,214,57.7,116,28.2,1035,2020_Browns,0,0
2020,defense,Buccaneers,15,10,0,4,5,617,426,69.0,7.0,3945,29,15,94.3,215,34.8,46,7,75T,48,358,1289,3.6,10,4,1,62,78,21.8,5,426,4311,10.1,68,1,171,37,22,1011,339,637,1,205,82,25,14,215,50.5,78,21.8,1023,2020_Buccaneers,0,0
2020,defense,Cardinals,15,10,0,1,5,570,365,64.0,6.9,3623,26,11,91.5,207,36.3,48,5,76T,48,436,2008,4.6,13,10,0,38T,118,27.1,5,365,3949,10.8,55,0,129,90,29,1102,306,744,1,202,80,21,14,207,56.7,118,27.1,1054,2020_Cardinals,0,0
2020,defense,Chargers,6,7,0,2,8,543,340,62.6,6.8,3578,29,12,91.4,186,34.3,44,10,54T,27,427,1917,4.5,17,13,1,55T,112,26.2,8,340,3715,10.9,54,2,217,78T,34,1211,456,689,1,204,89,15,10,186,54.7,112,26.2,997,2020_Chargers,0,0
2020,defense,Chiefs,13,6,0,8,1,557,349,62.7,7.1,3779,29,16,89.4,202,36.3,54,9,72T,32,433,1954,4.5,14,8,3,65,113,26.1,1,349,3968,11.4,63,2,259,50T,24,1037,316,693,1,188,77,20,13,202,57.9,113,26.1,1022,2020_Chiefs,1,1
2020,defense,Colts,14,10,0,6,4,562,369,65.7,7.3,3866,24,15,90.5,203,36.1,53,6,73,40,390,1448,3.7,16,4,0,31,94,24.1,4,369,4127,11.2,77,4,266,50T,21,1140,339,664,3,203,86,14,6,203,55.0,94,24.1,992,2020_Colts,0,0
2020,defense,Cowboys,16,12,2,2,9,513,328,63.9,7.4,3642,34,10,100.4,180,35.1,51,11,81T,31,510,2541,5.0,20,18,3,69T,142,27.8,9,328,3820,11.6,46,0,108,43,44,1118,342,750,0,209,98,21,10,180,54.9,142,27.8,1054,2020_Cowboys,0,0
2020,defense,Dolphins,16,10,2,5,5,545,343,62.9,8.0,4024,21,18,87.0,193,35.4,57,12,85T,41,412,1862,4.5,17,9,0,37,113,27.4,5,343,4373,12.7,70,0,146,29,34,1046,306,686,0,186,58,26,12,193,56.3,113,27.4,998,2020_Dolphins,0,0
2020,defense,Eagles,14,11,1,3,5,530,364,68.7,7.8,3798,27,8,102.4,209,39.4,50,12,69,49,481,2012,4.2,20,13,5,80,98,20.4,5,364,4122,11.3,41,1,101,30T,65,990,274,693,1,211,80,18,7,209,57.4,98,20.4,1060,2020_Eagles,0,0
