No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
10,Chris Bahr,27,K,16,0,170,5-10,Penn St.,2/3/1953,4,2,Cincinnati Bengals / 2nd / 51st pick / 1976,bahrxchr01
56,Jeff Barnes,25,ROLB,16,6,223,6-2,California,3/1/1955,3,4,Oakland Raiders / 5th / 139th pick / 1977,BarnJe20
81,Morris Bradshaw,28,WR,16,0,195,6-1,Ohio St.,10/19/1952,6,1,Oakland Raiders / 4th / 93rd pick / 1974,BradMo00
21,Cliff Branch,32,WR,16,15,170,5-11,Colorado,8/1/1948,8,8,Oakland Raiders / 4th / 98th pick / 1972,BranCl00
73,Dave Browning,24,RDE,16,16,245,6-5,Washington,8/18/1956,2,8,Oakland Raiders / 2nd / 54th pick / 1978,BrowDa23
77,Joe Campbell,25,LB,10,0,254,6-6,Maryland,5/8/1955,3,1,New Orleans Saints / 1st / 7th pick / 1977,CampJo21
87,Dave Casper,28,TE,6,6,240,6-4,Notre Dame,2/2/1952,6,3,Oakland Raiders / 2nd / 45th pick / 1974,CaspDa00
52,Mario Celotto,24,LB,11,0,228,6-3,USC,8/23/1956,2,1,Buffalo Bills / 7th / 171st pick / 1978,CeloMa20
85,Bob Chandler,31,WR,16,16,180,6-0,USC,4/24/1949,9,8,Buffalo Bills / 7th / 160th pick / 1971,ChanBo00
88,Raymond Chester,32,TE,16,10,232,6-3,Morgan St.,6/28/1948,10,4,Oakland Raiders / 1st / 24th pick / 1970,ChesRa00
46,Todd Christensen,24,TE,16,0,230,6-3,BYU,8/3/1956,1,0,Dallas Cowboys / 2nd / 56th pick / 1978,ChriTo00
50,Dave Dalby,30,C,16,14,247,6-3,UCLA,10/19/1950,8,6,Oakland Raiders / 4th / 100th pick / 1972,DalbDa00
79,Bruce Davis,24,G,16,0,287,6-6,UCLA,6/21/1956,1,1,Oakland Raiders / 11th / 294th pick / 1979,DaviBr23
36,Mike Davis,24,SS,16,16,203,6-3,Colorado,4/15/1956,2,8,Oakland Raiders / 2nd / 35th pick / 1977,DaviMi20
8,Ray Guy,31,P,16,0,195,6-3,Southern Miss,12/22/1949,7,4,Oakland Raiders / 1st / 23rd pick / 1973,GuyxRa20
86,Cedrick Hardman,32,DE,16,0,255,6-3,North Texas,10/4/1948,10,2,San Francisco 49ers / 1st / 9th pick / 1970,HardCe00
28,Dwight Harrison,32,CB,3,0,187,6-1,Texas A&M-Kingsville,10/12/1948,9,0,Denver Broncos / 2nd / 35th pick / 1971,HarrDw20
37,Lester Hayes,25,LCB,16,16,200,6-0,Texas A&M,1/22/1955,3,18,Oakland Raiders / 5th / 126th pick / 1977,HayeLe00
83,Ted Hendricks,33,LOLB,16,16,220,6-7,Miami (FL),11/1/1947,11,15,Baltimore Colts / 2nd / 33rd pick / 1969,HendTe00
20,I.M. Hipp,24,RB,1,0,201,5-11,Nebraska,2/15/1956,Rook,0,Atlanta Falcons / 4th / 104th pick / 1980,HippI.00
42,Monte Jackson,27,RCB,16,10,193,5-11,San Diego St.,7/14/1953,5,4,Los Angeles Rams / 2nd / 28th pick / 1975,JackMo00
31,Derrick Jensen,24,RB,16,1,221,6-1,Texas-Arlington,4/27/1956,1,2,Oakland Raiders / 3rd / 57th pick / 1978,JensDe00
90,Willie Jones,23,DE,16,0,240,6-4,Florida St.,11/22/1957,1,3,Oakland Raiders / 2nd / 42nd pick / 1979,JoneWi21
33,Kenny King,23,RB,15,13,203,5-11,Oklahoma,3/7/1957,1,7,Houston Oilers / 3rd / 72nd pick / 1979,KingKe00
62,Reggie Kinlaw,23,NT,14,13,245,6-2,Oklahoma,1/9/1957,1,6,Oakland Raiders / 12th / 320th pick / 1979,KinlRe20
70,Henry Lawrence,29,RT,16,16,272,6-4,Florida A&M,9/26/1951,6,7,Oakland Raiders / 1st / 19th pick / 1974,LawrHe00
60,Alva Liles,24,DT,2,0,255,6-3,Boise St.,3/6/1956,Rook,0,,LileAl20
53,Rod Martin,26,ROLB,16,10,218,6-2,USC,4/7/1954,3,7,Oakland Raiders / 12th / 317th pick / 1977,MartRo00
89,Rich Martini,25,WR,16,1,185,6-2,UC Davis,11/19/1955,1,0,Oakland Raiders / 7th / 190th pick / 1977,MartRi00
65,Mickey Marvin,25,RG,16,16,270,6-4,Tennessee,10/5/1955,3,7,Oakland Raiders / 4th / 112th pick / 1977,MarvMi20
71,Lindsey Mason,25,T,16,0,265,6-5,Kansas,8/1/1955,2,1,Oakland Raiders / 3rd / 82nd pick / 1978,MasoLi20
43,Ira Matthews,23,WR,16,0,175,5-8,Wisconsin,8/23/1957,1,0,Oakland Raiders / 6th / 142nd pick / 1979,MattIr20
72,John Matuszak,30,LDE,16,16,272,6-8,MissouriTampa,10/25/1950,7,8,Houston Oilers / 1st / 1st pick / 1973,MatuJo20
57,Randy McClanahan,26,RILB,14,8,225,6-5,Louisiana,12/12/1954,3,4,,McClRa20
23,Odis McKinney,23,DB,16,0,187,6-2,Colorado,5/19/1957,2,2,New York Giants / 2nd / 37th pick / 1978,McKiOd20
55,Matt Millen,22,LILB,16,16,250,6-2,Penn St.,3/12/1958,Rook,8,Oakland Raiders / 2nd / 43rd pick / 1980,MillMa01
26,Keith Moody,27,DB,5,0,171,5-11,Syracuse,6/13/1953,4,0,Buffalo Bills / 10th / 280th pick / 1976,MoodKe20
51,Bob Nelson,27,RILB,9,8,232,6-4,Nebraska,6/30/1953,4,4,Buffalo Bills / 2nd / 42nd pick / 1975,NelsBo20
35,Dwayne O'Steen,26,RCB,15,6,193,6-1,CaliforniaSan Jose St.,12/20/1954,2,4,,OSteDw20
44,Burgess Owens,29,FS,16,16,200,6-2,Miami (FL),8/2/1951,7,7,New York Jets / 1st / 13th pick / 1973,OwenBu20
7,Dan Pastorini,31,QB,5,5,208,6-2,Santa Clara,5/26/1949,9,3,Houston Oilers / 1st / 3rd pick / 1971,PastDa00
74,Dave Pear,27,NT,7,3,250,6-2,Washington,6/1/1953,5,2,Baltimore Colts / 3rd / 56th pick / 1975,PearDa00
16,Jim Plunkett,33,QB,13,11,220,6-3,Stanford,12/5/1947,9,9,New England Patriots / 1st / 1st pick / 1971,PlunJi00
84,Derrick Ramsey,24,TE,16,0,230,6-4,Kentucky,12/23/1956,2,1,Oakland Raiders / 5th / 136th pick / 1978,RamsDe00
78,Art Shell,34,LT,16,16,265,6-5,MD-Eastern Shore,11/26/1946,12,9,Oakland Raiders / 3rd / 80th pick / 1968,ShelAr00
45,Mike Spivey,26,DB,9,0,197,6-0,Colorado,3/10/1954,3,1,Chicago Bears / 2nd / 43rd pick / 1977,SpivMi20
66,Steve Sylvester,27,G,7,2,260,6-4,Notre Dame,3/4/1953,5,1,Oakland Raiders / 10th / 259th pick / 1975,SylvSt20
63,Gene Upshaw,35,LG,16,16,255,6-5,Texas A&M-Kingsville,8/15/1945,13,7,Oakland Raiders / 1st / 17th pick / 1967,UpshGe00
30,Mark van Eeghen,28,FB,16,16,223,6-2,Colgate,4/19/1952,6,8,Oakland Raiders / 3rd / 75th pick / 1974,VanEMa00
52,Greg Westbrooks,27,LB,1,0,215,6-2,Colorado MesaColorado,2/24/1953,5,0,New Orleans Saints / 17th / 422nd pick / 1975,WestGr20
22,Arthur Whittington,25,RB,15,2,185,5-11,SMU,9/4/1955,2,5,Oakland Raiders / 7th / 176th pick / 1978,WhitAr00
6,Marc Wilson,23,QB,2,0,205,6-6,BYU,2/15/1957,Rook,0,Oakland Raiders / 1st / 15th pick / 1980,WilsMa00
,Team Total,27,,16,,222.1,6-2.4,,,4.4,,,-9999
